,rt:eventAction,rt:eventCategory,rt:eventLabel,rt:totalEvents
156,75,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2020&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=&grantTypes=%26GrantTypeIds%3D2,1
157,75,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=1,1
158,75,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=NaN&originatingoffices=%26RegionIds%3D7&minyear=2006&maxyear=2020&search=%26SearchText%3Dhonduran%20black%20fraternity%20org,1
159,75,Scroll,https://www.fordfoundation.org/work/our-grants/how-we-make-grants/,1
160,75,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-inquiry/,1
161,75% Watched,YouTube,How Our Endowment Works - 5qS_tapYGzE,1
162,75% Watched,YouTube,How the Ford Foundation's Grant Making Works - JSz7TSPA4wQ,1
163,75% Watched,YouTube,The Power of a Name ft. Jon Stryker & Van Jones - leC3PvcYNe8,1
164,CSV Download,File Download,Grant Data,1
165,Career Portal,Outbound Link Click,Current Openings,8
166,External URL,Outbound Link Click,https://fordfoundation.wd1.myworkdayjobs.com/FordFoundationCareerPage,8
167,External URL,Outbound Link Click,https://fordfoundation.wd1.myworkdayjobs.com/en-US/FordFoundationCareerPage/introduceYourself,2
168,External URL,Outbound Link Click,https://www.newamerica.org/pit/,1
169,Grant Detail Expand,Grant Search Interaction,grant-118266,1
170,Grant Detail Expand,Grant Search Interaction,grant-137107,1
171,Grant Detail Expand,Grant Search Interaction,grant-139306,1
172,Grant Detail Expand,Grant Search Interaction,grant-140253,1
173,Grant Detail Expand,Grant Search Interaction,grant-140556,1
174,Grant Detail Expand,Grant Search Interaction,grant-141124,1
175,PDF Download,File Download,From Generosity to Justice,1
176,Pause,YouTube,Kumu Hina: In Performance - vTWCoOYQJ0Y,1
177,Play,YouTube,How Our Endowment Works - 5qS_tapYGzE,1
178,Play,YouTube,How the Ford Foundation's Grant Making Works - JSz7TSPA4wQ,1
179,Play,YouTube,Kumu Hina: In Performance - vTWCoOYQJ0Y,1
180,Play,YouTube,The Power of a Name ft. Jon Stryker & Van Jones - leC3PvcYNe8,1
181,Seeking,YouTube,Kumu Hina: In Performance - vTWCoOYQJ0Y,2
182,Submit,Newsletter Signup,Short Form,2
183,epub,File Download,New Gospel book,1
184,pdf,File Download,New Gospel book,1
185,popup,New Gospel,Jon Stryker,1
